SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1570 Danbrook Dr,Sacramento,CA,95835,619900,3,2.5,North Sacramento/Natomas/Del Paso Heights,3052,14911,2002,73,,71,Active,,,MetroList,19022481,N,Y,38.6658566,-121.4957355
MLS Listing,,Single Family Residential,1086 Granville Ln,Brentwood,CA,94513,669900,4,3.5,Brentwood,3671,10800,2006,73,182,,Active,,,Bridge MLS,40860566,N,Y,37.9662611,-121.716206
MLS Listing,,Single Family Residential,193 Barroilhet Ave,SAN MATEO,CA,94401,2288000,3,2,SAN MATEO,2070,4465,1930,74,1105,,Active,,,MLSListings,ML81746524,N,Y,37.572337,-122.3458902
MLS Listing,,Single Family Residential,19 Hillview Ct,Danville,CA,94506,1242500,4,3,Vista Tassajara,2568,12280,1990,74,484,146,Active,,,Bridge MLS,40860427,N,Y,37.7913943,-121.9060189
MLS Listing,,Single Family Residential,107 Sunnyside Ave,Piedmont,CA,94611,1490000,3,2,Alameda County,1442,,1976,79,1033,,Active,,,BAREIS,21905999,N,Y,37.8228555,-122.2478076
MLS Listing,,Single Family Residential,7875 Alpine Willow Ln,Sacramento,CA,95828,350000,4,2.5,Sacramento Florin & Vicinity,1807,2496,2016,79,,95,Active,,,MetroList,19019219,N,Y,38.4717514,-121.4054135
MLS Listing,,Single Family Residential,1170 Glencourt Dr,Oakland,CA,94611,1050000,4,2,Montclair,2119,6045,1961,80,496,,Active,,,Bridge MLS,40859664,N,Y,37.8381608,-122.1955125
MLS Listing,,Single Family Residential,8238 Bellsbrae Dr,Antelope,CA,95843,385000,3,2.5,Sacramento Antelope,1950,5663,1990,80,,,Active,,,MetroList,19020277,N,Y,38.7194244,-121.3614223
MLS Listing,,Single Family Residential,6826 E Woodward Ave,Manteca,CA,95337,429999,3,2,Far South Manteca,2093,15246,1957,81,,,Active,,,MetroList,19018561,N,Y,37.7753757,-121.2242037
MLS Listing,,Single Family Residential,3471 East Ave,Livermore,CA,94550,689000,3,2,Jensen Tract,1354,6149,1959,81,509,,Active,,,Bridge MLS,40859330,N,Y,37.6796954,-121.7574575
