RegionName,State,Metro,CountyName,SizeRank,Jan-19,Feb-19,Mar-19,Apr-19,May-19
Merrillville,IN,Chicago-Naperville-Elgin,Lake County,1424,149900,149900,149925,144900,149900
Kankakee,IL,Kankakee,Kankakee County,1425,72450,74900,80000,87000,89388.5
Culver City,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1426,949000,959000,1049000,1099000,1099000
Saratoga Springs,NY,Albany-Schenectady-Troy,Saratoga County,1427,473000,469450,472000,477000,487350
Fairborn,OH,Dayton,Greene County,1428,119950,118900,121750,130000,133900
Duncanville,TX,Dallas-Fort Worth-Arlington,Dallas County,1429,185000,189950,196400,199900,202450
Fairburn,GA,Atlanta-Sandy Springs-Roswell,Fulton County,1430,205000,211945,208990,215267,216329
Ringgold,GA,Chattanooga,Catoosa County,1431,209950,193450,202450,210000,210000
Marion,IA,Cedar Rapids,Linn County,1432,215692,221900,219900,217450,219900
Opelousas,LA,Opelousas,Saint Landry Parish,1433,135900,143000,145000,145000,139500
Harvey,LA,New Orleans-Metairie,Jefferson Parish,1434,174900,179000,189500,199000,195998.5
Greenacres,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,1435,190000,190950,189450,189000,192500
Ramona,CA,San Diego-Carlsbad,San Diego County,1436,544450,550000,569500,567000,568500
Miamisburg,OH,Dayton,Montgomery County,1437,157150,149900,149999,149900,157000
La Quinta,CA,Riverside-San Bernardino-Ontario,Riverside County,1438,649000,649000,639000,614950,598000
Palmetto,FL,North Port-Sarasota-Bradenton,Manatee County,1439,260990,262470,259990,254945,256420
Montclair,CA,Riverside-San Bernardino-Ontario,San Bernardino County,1440,428450,439000,434450,430000,428750
Palestine,TX,Palestine,Anderson County,1441,129500,135000,139700,142900,143450
Pacifica,CA,San Francisco-Oakland-Hayward,San Mateo County,1442,936944,979000,992419,999888,1050000
Searcy,AR,Searcy,White County,1443,139900,146000,149900,155000,157500
Glen Ellyn,IL,Chicago-Naperville-Elgin,DuPage County,1444,434000,439450,439450,440000,440000
Chelsea,MA,Boston-Cambridge-Newton,Suffolk County,1445,385000,409000,437000,399000,385000
Chester,PA,Philadelphia-Camden-Wilmington,Delaware County,1446,45000,44900,49400,49700,49900
Salem,VA,Roanoke,Salem City,1447,184975,184950,188750,192450,214950
Park Ridge,IL,Chicago-Naperville-Elgin,Cook County,1448,429450,439900,459900,469000,475000
Tifton,GA,Tifton,Tift County,1449,149900,152400,154950,169900,154908
Arnold,MO,St. Louis,Jefferson County,1450,229900,227900,238500,237745,235900
Plymouth,MI,Detroit-Warren-Dearborn,Wayne County,1451,375000,364900,350000,369950,379950
Greenville,MS,Greenville,Washington County,1452,115000,110000,110000,110000,109133
Romeoville,IL,Chicago-Naperville-Elgin,Will County,1453,199900,199900,199000,199900,207000
Brownsburg,IN,Indianapolis-Carmel-Anderson,Hendricks County,1454,257600,249990,249495,256545,259900
Ocoee,FL,Orlando-Kissimmee-Sanford,Orange County,1455,289900,299000,295990,292500,299900
El Dorado Hills,CA,Sacramento--Roseville--Arden-Arcade,El Dorado County,1456,769499.5,769000,759000,774450,749000
Perrysburg,OH,Toledo,Wood County,1456,282400,272900,283500,275000,269900
Boerne,TX,San Antonio-New Braunfels,Kendall County,1458,399945,399900,399900,399999.5,405950
Atwater,CA,Merced,Merced County,1459,286950,289900,295000,298000,295000
Seattle Hill-Silver Firs,WA,Seattle-Tacoma-Bellevue,Snohomish County,1460,469950,484975,490000,509975,522475
Hurst,TX,Dallas-Fort Worth-Arlington,Tarrant County,1461,240000,240000,245000,255000,252500
Texarkana,AR,Texarkana,Miller County,1462,155000,165000,168700,160250,172559.5
Dunnellon,FL,Ocala,Marion County,1463,185000,185500,185250,189900,189000
Aventura,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,1464,399000,4.00E+05,399000,399900,399950
Kearney,NE,Kearney,Buffalo County,1465,224900,224900,224900,226000,224900
Englewood,CO,Denver-Aurora-Lakewood,Arapahoe County,1466,425950,429975,434612.5,429000,435000
