SizeRank,RegionID,RegionName,RegionType,StateName,2019-01,2019-02,2019-03,2019-04,2019-05
388,32287,Kennesaw,City,GA,110,137,132,140,141
389,395557,Woodbridge,City,NJ,127,100,116,146,130
390,37933,Clinton,City,MI,91,77,109,125,153
391,31163,Daly City,City,CA,,22,25,22,28
392,33645,Rialto,City,CA,,64,58,47,52
393,11049,Davie,City,FL,151,173,144,145,187
394,10917,Columbia,City,MD,76,79,109,116,164
395,46508,Meridian,City,ID,136,164,164,234,241
396,32452,Lawrence,City,KS,,,,131,105
397,6112,Napa,City,CA,,69,83,88,89
398,38992,Highlands Ranch,City,CO,,79,100,121,150
399,46348,Lynchburg,City,VA,,112,122,127,138
400,11695,Greeley,City,CO,,118,154,154,106
401,39386,League City,City,TX,154,154,163,157,193
402,395471,Lakewood,City,NJ,105,91,105,82,124
403,12773,Mission Viejo,City,CA,,107,108,135,147
404,11896,High Point,City,NC,,85,113,104,114
405,39452,Lithonia,City,GA,137,167,163,104,139
406,3404,Anderson,City,SC,,112,154,127,137
407,32540,Livermore,City,CA,,94,125,108,123
408,27219,Spring Hill,City,FL,237,212,218,168,221
409,6932,Sandy,City,UT,,87,108,95,135
410,45255,Federal Way,City,WA,69,48,82,68,106
411,40574,Rio Rancho,City,NM,137,116,130,158,234
412,47762,South Gate,City,CA,13,17,17,21,13
413,23862,Bryan,City,TX,87,104,100,77,111
414,4042,Champaign,City,IL,,89,119,110,99
415,16701,Albany,City,GA,,82,93,71,133
416,53978,Portsmouth,City,VA,144,136,158,198,217
417,399214,Greece,City,NY,,70,100,86,125
418,24336,Dearborn,City,MI,99,84,97,124,117
419,42150,Hawthorne,City,CA,28,28,29,25,26
420,52696,Johnson City,City,TN,108,100,100,107,147
421,39097,Idaho Falls,City,ID,69,80,69,109,149
422,48573,Woodstock,City,GA,,178,168,151,180
423,32542,Livonia,City,MI,74,72,95,102,128
424,44328,Brockton,City,MA,55,70,78,84,105
425,50779,Asheville,City,NC,96,113,173,159,196
426,53311,Midlothian,City,VA,102,131,151,172,195
427,45878,Indio,City,CA,161,150,143,125,135
428,16773,Annapolis,City,MD,114,123,166,174,175
429,39966,New Braunfels,City,TX,219,204,275,269,227
430,32777,McDonough,City,GA,186,218,190,186,271
431,16818,Ashburn,City,VA,100,126,137,135,192
432,41059,Sterling,City,VA,48,65,101,115,104
433,16839,Auburn,City,WA,58,54,70,70,136
434,54902,Valdosta,City,GA,106,108,119,126,143
435,50741,Apopka,City,FL,135,127,145,125,156
436,52747,Kennewick,City,WA,80,63,77,83,118
437,5891,Medford,City,OR,127,107,135,140,192
438,23444,Allen,City,TX,111,123,149,140,181
439,397180,Kalamazoo,City,MI,74,56,75,67,74
440,26964,Santa Monica,City,CA,,58,67,55,81
440,33450,Plantation,City,FL,,164,167,131,154
441,26534,Plainfield,City,IL,79,108,146,172,167
442,33058,New Bedford,City,MA,,51,52,48,56
443,34780,Westminster,City,CA,27,31,32,26,30
444,6696,Reading,City,PA,22,17,31,31,44
445,46325,Loveland,City,CO,,111,130,164,172
446,44571,Cheyenne,City,WY,82,104,120,145,103
447,38583,Fort Smith,City,AR,,91,129,101,107
448,46183,Lawton,City,OK,,111,88,124,112
449,39220,Kenosha,City,WI,59,78,108,99,119
450,54219,Roswell,City,GA,143,228,187,198,196
451,32921,Monroe,City,LA,66,68,82,97,91
452,26319,Orem,City,UT,39,62,83,85,98
453,53359,Missoula,City,MT,69,57,93,87,131
454,5924,Miami Beach,City,FL,532,421,358,325,390
455,51758,Duluth,City,MN,47,53,74,83,92
456,54628,Sunrise,City,FL,211,220,186,148,169
457,39558,Lynn,City,MA,42,49,67,67,90
458,397329,Holland,City,MI,,48,52,83,112
459,44641,Cleveland,City,TN,97,119,119,138,142
460,41715,Williamsburg,City,VA,,163,205,210,272
461,39398,Lees Summit,City,MO,93,80,109,144,149
462,30236,Appleton,City,WI,76,88,118,142,155
463,53569,Newnan,City,GA,146,151,157,154,218
464,46500,Menifee,City,CA,204,183,225,178,248
465,40737,San Marcos,City,CA,,89,71,107,118
466,16425,Acworth,City,GA,128,173,167,148,157
467,10700,Canton,City,MI,90,70,94,107,150
468,38968,Herndon,City,VA,35,48,91,97,109
469,8814,Queen Creek,City,AZ,,203,227,252,240
470,38047,Covington,City,GA,165,154,105,128,201
471,54294,San Angelo,City,TX,,84,110,123,104
472,52387,Hamilton,City,NJ,102,126,111,139,146
473,34312,Tonawanda,City,NY,56,55,66,103,110
474,3761,Bothell,City,WA,99,75,143,120,164
475,40013,Newton,City,MA,,91,106,138,136
476,27768,Warner Robins,City,GA,,89,116,116,116
477,31567,Flagstaff,City,AZ,67,88,96,99,129
478,44583,Chino,City,CA,90,61,72,68,84
479,38581,Fort Pierce,City,FL,,145,142,136,153
480,20128,Redwood City,City,CA,,40,56,54,70
481,32471,Leesburg,City,VA,,94,130,110,141
482,31892,Gulfport,City,MS,167,142,137,141,169
483,40355,Pittsburg,City,CA,,56,47,61,86
484,45417,Georgetown,City,TX,168,186,258,210,378
485,31525,Fall River,City,MA,38,35,29,47,58
486,51757,Duluth,City,GA,81,127,87,92,91
487,24339,Decatur,City,IL,68,83,96,113,124
488,33334,Parker,City,CO,,134,150,193,207
489,53571,Newport Beach,City,CA,117,159,175,158,155
490,396020,Arden-Arcade,City,CA,70,69,65,79,98
491,33031,Nashua,City,NH,63,73,99,97,128
492,41109,Suffolk,City,VA,146,138,176,199,181
493,54944,Victoria,City,TX,76,66,63,60,94
494,54089,Redmond,City,WA,,,,85,126
495,23742,Bloomington,City,IL,,95,164,122,150
496,27491,Tustin,City,CA,48,55,64,59,76
497,51414,Citrus Heights,City,CA,,68,77,94,115
498,45449,Glen Burnie,City,MD,87,78,105,105,117
499,41587,Waukegan,City,IL,30,34,45,45,47
500,47080,Pflugerville,City,TX,135,106,116,120,140
501,30552,Bowie,City,MD,61,77,102,117,121
502,34637,Walnut Creek,City,CA,,123,144,125,146
503,53100,Macomb,City,MI,,65,105,111,141
504,31543,Fayetteville,City,AR,110,102,109,121,140
505,10451,Bloomington,City,MN,40,62,77,98,97
506,54428,Sioux City,City,IA,51,57,76,80,93
507,24307,Dallas,City,GA,138,251,170,167,179
508,10608,Buena Park,City,CA,36,41,35,42,39
509,32563,Longmont,City,CO,,107,106,160,152
510,5291,Iowa City,City,IA,,84,134,121,113
511,17040,Bismarck,City,ND,,71,84,135,158
512,50677,Alhambra,City,CA,,21,39,27,43
513,41279,Trenton,City,NJ,69,52,72,76,56
514,51534,Conyers,City,GA,97,153,104,121,133
515,24120,Clifton,City,NJ,67,69,88,96,107
516,31732,Germantown,City,MD,,62,102,97,109
517,39133,Jackson,City,TN,88,58,79,101,115
518,34311,Toms River,City,NJ,198,197,254,198,236
519,32615,Lynnwood,City,WA,,48,91,83,115
520,44597,Cicero,City,IL,25,25,29,28,22
521,31403,Ellicott City,City,MD,41,68,107,139,134
522,41128,Sumter,City,SC,102,79,97,98,89
523,33287,Owensboro,City,KY,92,81,87,98,121
524,38004,Conway,City,AR,75,88,96,92,107
525,25066,Hattiesburg,City,MS,73,78,108,94,106
526,32120,Huntington,City,NY,,71,92,104,113
527,17453,Spokane Valley,City,WA,,75,86,116,152
528,31166,Danbury,City,CT,59,59,80,85,119
529,26222,Norwalk,City,CT,,106,125,154,135
530,7784,Watsonville,City,CA,16,25,30,35,26
531,34103,Springfield,City,OH,56,59,75,68,63
532,25193,Houma,City,LA,64,79,73,66,72
533,12317,Largo,City,FL,129,101,105,108,115
534,24967,Gresham,City,OR,,46,56,77,118
535,10528,Brandon,City,FL,,95,119,99,134
